Team,WIN_CHANGE,SALARY_CHANGE
Atlanta Hawks,4,22822470
Boston Celtics,-3,45192716
Cleveland Cavaliers,16,-12447965
New Orleans Pelicans,-28,79637652
Chicago Bulls,0,33549826
Dallas Mavericks,-11,100280072
Denver Nuggets,-7,81238885
Golden State Warriors,2,-29138973
Houston Rockets,11,29786188
Los Angeles Lakers,3,-20569598
Miami Heat,-9,-6361324
Milwaukee Bucks,-1,-16074583
Minnesota Timberwolves,-7,36967584
Brooklyn Nets,-6,-23941808
New York Knicks,1,48425027
Orlando Magic,-6,27212049
Indiana Pacers,3,42929025
Philadelphia 76ers,-23,-27139413
Phoenix Suns,-13,26308498
Portland Trail Blazers,15,3563251
Sacramento Kings,-6,11530320
San Antonio Spurs,12,69053313
Oklahoma City Thunder,11,14614381
Toronto Raptors,5,-5645638
Utah Jazz,-14,26697445
Memphis Grizzlies,21,46659680
Washington Wizards,3,42763732
Detroit Pistons,30,11854517
Charlotte Hornets,-2,74701967
