Team,TradeCount
Philadelphia 76ers,121
Portland Trail Blazers,96
Milwaukee Bucks,87
Chicago Bulls,76
Cleveland Cavaliers,97
Boston Celtics,99
Los Angeles Clippers,93
Memphis Grizzlies,105
Atlanta Hawks,104
Miami Heat,67
Charlotte Hornets,135
Utah Jazz,80
Sacramento Kings,87
New York Knicks,86
Los Angeles Lakers,55
Orlando Magic,90
Dallas Mavericks,98
Brooklyn Nets,97
Denver Nuggets,90
Indiana Pacers,67
New Orleans Pelicans,49
Detroit Pistons,91
Toronto Raptors,82
Houston Rockets,128
San Antonio Spurs,59
Phoenix Suns,102
Oklahoma City Thunder,118
Minnesota Timberwolves,88
Golden State Warriors,76
Washington Wizards,87
