GameNumber,GAME_DATE,MATCHUP,WL,PTS,PointDiff
1,2024-10-23,GSW @ POR,W,140,36
2,2024-10-25,GSW @ UTA,W,127,41
3,2024-10-27,GSW vs. LAC,L,104,-8
4,2024-10-29,GSW vs. NOP,W,124,18
5,2024-10-30,GSW vs. NOP,W,104,15
6,2024-11-02,GSW @ HOU,W,127,6
7,2024-11-04,GSW @ WAS,W,125,13
8,2024-11-06,GSW @ BOS,W,118,6
9,2024-11-08,GSW @ CLE,L,117,-19
10,2024-11-10,GSW @ OKC,W,127,11
11,2024-11-12,GSW vs. DAL,W,120,3
12,2024-11-15,GSW vs. MEM,W,123,5
13,2024-11-18,GSW @ LAC,L,99,-3
14,2024-11-20,GSW vs. ATL,W,120,23
15,2024-11-22,GSW @ NOP,W,112,4
16,2024-11-23,GSW @ SAS,L,94,-10
17,2024-11-25,GSW vs. BKN,L,120,-8
18,2024-11-27,GSW vs. OKC,L,101,-4
19,2024-11-30,GSW @ PHX,L,105,-8
20,2024-12-03,GSW @ DEN,L,115,-4
21,2024-12-05,GSW vs. HOU,W,99,6
22,2024-12-06,GSW vs. MIN,L,90,-17
23,2024-12-08,GSW vs. MIN,W,114,8
24,2024-12-11,GSW @ HOU,L,90,-1
25,2024-12-15,GSW vs. DAL,L,133,-10
26,2024-12-19,GSW @ MEM,L,93,-51
27,2024-12-21,GSW @ MIN,W,113,10
28,2024-12-23,GSW vs. IND,L,105,-6
29,2024-12-25,GSW vs. LAL,L,113,-2
30,2024-12-27,GSW @ LAC,L,92,-10
31,2024-12-28,GSW vs. PHX,W,109,4
32,2024-12-30,GSW vs. CLE,L,95,-18
33,2025-01-02,GSW vs. PHI,W,139,34
34,2025-01-04,GSW vs. MEM,W,121,8
35,2025-01-05,GSW vs. SAC,L,99,-30
36,2025-01-07,GSW vs. MIA,L,98,-16
37,2025-01-09,GSW @ DET,W,107,3
38,2025-01-10,GSW @ IND,L,96,-12
39,2025-01-13,GSW @ TOR,L,101,-3
40,2025-01-15,GSW @ MIN,W,116,1
41,2025-01-18,GSW vs. WAS,W,122,8
42,2025-01-20,GSW vs. BOS,L,85,-40
43,2025-01-22,GSW @ SAC,L,117,-6
44,2025-01-23,GSW vs. CHI,W,131,25
45,2025-01-25,GSW vs. LAL,L,108,-10
46,2025-01-28,GSW vs. UTA,W,114,11
47,2025-01-29,GSW vs. OKC,W,116,7
48,2025-01-31,GSW vs. PHX,L,105,-25
49,2025-02-03,GSW vs. ORL,W,104,5
50,2025-02-05,GSW @ UTA,L,128,-3
51,2025-02-06,GSW @ LAL,L,112,-8
52,2025-02-08,GSW @ CHI,W,132,21
53,2025-02-10,GSW @ MIL,W,125,14
54,2025-02-12,GSW @ DAL,L,107,-4
55,2025-02-13,GSW @ HOU,W,105,7
56,2025-02-21,GSW @ SAC,W,132,24
57,2025-02-23,GSW vs. DAL,W,126,24
58,2025-02-25,GSW vs. CHA,W,128,36
59,2025-02-27,GSW @ ORL,W,121,6
60,2025-03-01,GSW @ PHI,L,119,-7
61,2025-03-03,GSW @ CHA,W,119,18
62,2025-03-04,GSW @ NYK,W,114,12
63,2025-03-06,GSW @ BKN,W,121,2
64,2025-03-08,GSW vs. DET,W,115,5
65,2025-03-10,GSW vs. POR,W,130,10
66,2025-03-13,GSW vs. SAC,W,130,26
67,2025-03-15,GSW vs. NYK,W,97,3
68,2025-03-17,GSW vs. DEN,L,105,-9
69,2025-03-18,GSW vs. MIL,W,104,11
70,2025-03-20,GSW vs. TOR,W,117,3
71,2025-03-22,GSW @ ATL,L,115,-9
72,2025-03-25,GSW @ MIA,L,86,-26
73,2025-03-28,GSW @ NOP,W,111,16
74,2025-03-30,GSW @ SAS,W,148,42
75,2025-04-01,GSW @ MEM,W,134,9
76,2025-04-03,GSW @ LAL,W,123,7
77,2025-04-04,GSW vs. DEN,W,118,14
78,2025-04-06,GSW vs. HOU,L,96,-10
79,2025-04-08,GSW @ PHX,W,133,38
80,2025-04-09,GSW vs. SAS,L,111,-3
81,2025-04-11,GSW @ POR,W,103,17
82,2025-04-13,GSW vs. LAC,L,119,-5
